variable,n_nonmissing,mean,sd,median,min,p01,p25,p75,p99,max,n_zeros,n_negative,role,inferred_type,pct_missing
age_at_dx,122,67.79162874081968,8.877617569905917,67.14407940000001,44.15,50.067800000000005,61.0225,73.0346201225,89.57367556439999,90.66666667,0,0,clinical_core,numeric,0
os_status,125,0.32799999999999996,0.47137410661500767,0,0,0,0,1,1,1,84,0,clinical_core,binary,0
os_years,125,2.5616,1.6133722796968297,2.28493150684932,0.0219178082191781,0.0246575342465753,1.36164383561644,4.19452054794521,5,5,0,0,clinical_core,numeric,0
acrc,125,5.465542257573507,1.3855620115412555,5.2598824514954,3.03907724364637,3.310798993533628,4.47117826485008,6.48106646659995,8.672605002236713,8.80306000043521,0,0,molecular_feature,numeric,0
ag2,125,5.465542257573507,1.485793165381405,5.35407046565311,2.64032225799153,2.884982962821886,4.33616704242029,6.36666065667543,9.19957083605732,9.40773175336617,0,0,molecular_feature,numeric,0
atg16l2,125,5.465542257573506,0.8366714316008322,5.39891719084537,3.81858882808404,3.873309588339173,4.86506040996252,6.07961237127428,7.165296546832171,7.35001273267656,0,0,molecular_feature,numeric,0
btbd16,125,5.465542257573507,2.127869343289601,5.61291542424269,2.05093341600793,2.0596808559548383,3.65747408544233,7.29567896416243,9.579333231547107,9.89234393483907,0,0,molecular_feature,numeric,0
c10orf47,125,5.465542257573507,0.9682326966549618,5.48047168788441,2.74520835016166,3.1582334340067577,4.78350176349383,6.22417054898822,7.238474833343633,7.37397937041831,0,0,molecular_feature,numeric,0
c11orf41,125,5.465542257573507,1.6172004210188404,5.92474535655517,1.78149938752997,2.0858493149217496,4.10263848934548,6.67639656048981,8.373135116667305,8.52814864065699,0,0,molecular_feature,numeric,0
c11orf9,125,5.465542257573507,1.0933460047824763,5.65356315517045,2.22965776413153,2.462439446825324,4.75723848842838,6.14914393743981,7.685303687681247,8.67488624411623,0,0,molecular_feature,numeric,0
c12orf27,125,5.465542257573507,2.2564264091145683,5.99336521495781,1.63840655918269,1.652060014095794,3.65912096879225,7.13202193707973,9.726634132462049,10.1401212995789,0,0,molecular_feature,numeric,0
c17orf70,125,5.465542257573506,0.9579716710133432,5.4201038579848,2.42495671316408,2.726117953228504,4.77169223338346,6.17875089079565,7.516722382380067,7.65527674927658,0,0,molecular_feature,numeric,0
c1orf106,125,5.4655422575735075,0.9741953850460406,5.55108800957057,1.46782393793277,2.5935908992737065,4.96198745493914,6.19397729695947,6.98757107294638,7.15516861618974,0,0,molecular_feature,numeric,0
c1orf126,125,5.465542257573507,1.1747831377172078,5.37571839356063,2.72643900583221,2.9911461309365333,4.68660742746088,6.12507977497842,8.354330567538547,9.15037424229562,0,0,molecular_feature,numeric,0
c2cd4a,125,5.465542257573506,1.9551377895860356,5.37408083774531,0.822732876582934,0.9342593829622817,4.27215686401658,7.03838816730922,9.098417126107876,9.43707589020537,0,0,molecular_feature,numeric,0
c2orf70,125,5.465542257573507,1.101143127837386,5.48950618355,1.84273196254453,1.905147818387138,4.95666374773244,6.09054905177005,7.8652626526329605,8.3509094746275,0,0,molecular_feature,numeric,0
c3orf66,125,5.465542257573507,1.9869121265493979,5.40475170316996,1.87463444591229,1.9267169284274543,3.59415238977205,6.9681582309165,9.501389864406134,10.4553529915779,0,0,molecular_feature,numeric,0
c8orf45,125,5.465542257573507,1.510102595031551,5.15491329974979,2.59108634077069,2.8032028297503606,4.41681682930593,6.61284828433264,9.25529040203795,9.54712022289319,0,0,molecular_feature,numeric,0
calml6,125,5.465542257573507,2.115283361051341,5.61239892754789,2.47715391342401,2.4909209170143773,3.38762645781519,7.19958854812851,9.622237489380291,9.75138082366016,0,0,molecular_feature,numeric,0
chrna10,125,5.4655422575735075,1.6677348931104001,5.71557884172692,2.5845912052905202,2.632046835026424,3.92298618463784,6.83810575750768,8.949033695008318,9.05999879179222,0,0,molecular_feature,numeric,0
cldn14,125,5.465542257573507,1.7426346968511048,5.56962904413488,1.99600194241695,2.2004532811854336,3.91564647817834,6.74919601332514,9.043183924361152,9.28690953325378,0,0,molecular_feature,numeric,0
cnot1,125,5.465542257573507,0.6855461209787974,5.56400555984337,0.639105903877736,3.6666689962242676,5.19248446886726,5.83120678167947,6.624005936949158,6.7791681641281,0,0,molecular_feature,numeric,0
